dedup_id,artist,category,genre,title,tracks,year,ID,dropped
1,Terry Pratchett,misc,Audio Book,Hogfather,Hogfather (Disk 02) - Track 014|Hogfather (Disk 02) - Track 015|Hogfather (Disk 02) - Track 016|Hogfather (Disk 02) - Track 017|Hogfather (Disk 02) - Track 018|Hogfather (Disk 02) - Track 019|Hogfather (Disk 02) - Track 020|Hogfather (Disk 02) - Track 021|Hogfather (Disk 02) - Track 022|Hogfather (Disk 02) - Track 023|Hogfather (Disk 02) - Track 024|Hogfather (Disk 02) - Track 025|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,1996,2297,NO
1,Terry Pratchett,misc,Audio Book,Hogfather,Hogfather (Disk 03) - Track 026|Hogfather (Disk 03) - Track 027|Hogfather (Disk 03) - Track 028|Hogfather (Disk 03) - Track 029|Hogfather (Disk 03) - Track 030|Hogfather (Disk 03) - Track 031|Hogfather (Disk 03) - Track 032|Hogfather (Disk 03) - Track 033|Hogfather (Disk 03) - Track 034|Hogfather (Disk 03) - Track 035|Hogfather (Disk 03) - Track 036|Hogfather (Disk 03) - Track 037|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,1996,3515,YES
2,Radiohead,rock,Alternative,The Bends,Planet Telex|The Bends|High And Dry|Fake Plastic Trees|Bones|(nice dream)|Just|My Iron Lung|Bullet Proof. . . I Wish I Was|Black Star|Sulk|Street Spirit (Fade Out)|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,1995,9520,NO
2,Radiohead,rock,Alternative Rock,The Bends,Planet Telex|The Bends|High And Dry|Fake Plastic Trees|Bones|(Nice Dream)|Just|My Iron Lung|Bullet Proof .. I Wish I Was|Black Star|Sulk|Street Spirit ( Fade Out )|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,1995,9662,YES
3,Mindy McCready,country,country,If I Don't Stay The Night,"What If I Do|This is Me|If I Don't Stay The Night|Cross Against The Moon|For a Good Time Call|Oh Romeo|The Other Side Of This Kiss|You'll Never Know|Fine Art Of Holding A Woman|Only A Whisper|Long, Long Time|Info|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||",1997,9732,NO
3,Mindy McCready,country,Country,If I Don't Stay The Night,"What If I Do|This Is Me|If I Don't Stay The Night|Cross Against The Moon|For A Good Time Call|Oh Romeo|The Other Side Of This Kiss|You'll Never Know|Fine Art Of Holding A Woman|Only A Whisper|Long, Long Time|Data|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||",1997,9736,YES
4,Cappella,misc,Dance,U Got 2 Know,U Got 2 Know|U Got 2 Let The Music|Don't Be Proud|U & Me|Everybody|What I Gotta Do|Move On Baby|Shake Your Body|The Big Beat|Move It Up|U Got 2 Let The Music (The Unreleased Mix)|Take Me Away (Radio Edit)|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,1994,9491,NO
4,Cappella,rock,Dance,U Got 2 Know,U Got 2 Know|U Got 2 Let The Music|Don't Be Proud|U & Me|Everybody|What I Gotta Do|Move On Baby|Shake Your Body|The Big Beat|Move It Up|U Got 2 Let The Music (The Unreleased Mix)|Take Me Away (Radio Edit)|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,1994,9696,YES
5,Add N To (X),rock,Electronic,Loud Like Nature,total all out water|electric village|sheez mine|invasion of the polaroid people|party bag|P.P Machine|pink light|up the punks|take me to your leader|lick a battery(tongues cross the terminals)|-u baby|large number|all night lazy||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,2002,9570,NO
5,Add N To (X),rock,Electronic,Loud Like Nature,Total All Out Water|Electric Village|Sheez Mine|Invasion Of The Polaroid People|Party Bag|P.P. Machine|Pink Light|Up the Punks|Take Me To Your Leader|Lick a Battery (Tongues Across the Terminals)|.-U Baby|Large Number|All Night Lazy||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,2002,9645,YES
6,Nirvana,misc,Grunge,Nevermind,Smells like teen spirit|In bloom|Come as you are|Breed|Lithium|Polly|Territorial pissings|Drain you|Lounge act|Stay away|On a plain|Something in the way|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,,9389,NO
6,Nirvana,rock,Grunge,Nevermind,Smells Like Teen Spirit|In Bloom|Come as You Are|Breed|Lithium|Polly|Territorial Pissings|Drain You|Lounge Act|Stay Away|On a Plain|Something in the Way|Endless Nameless||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,,9586,YES
7,DEEP PURPLE,rock,Hard Rock,The Book Of Taliesyn (Remaster),"Listen, Learn, Read On|Wring That Neck|Kentucky Woman|(a) Exposition/(b) We Can Work It Out|Shield|Anthem|River Deep, Mountain High|Oh No No No (Studio Out Take)|It's All Over (LIVE)|Hey Bop A Re Bop (LIVE)|Wring That Neck (LIVE)|Playground (Remixed Inst. Studio Out Take)|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||",1968,9508,NO
7,DEEP PURPLE,rock,Hard Rock,The Book Of Taliesyn,"Listen, Learn, Read On|Wring That Neck|Kuntucky Woman|Exposition-We Can Work It Out|Shield|Anthem|River Deep, Mountain High|Oh No No No (Studio Out Take)|It's All Over (BBC Top Gear Session)|Hey Bop A Re Bop (BBC Top Gear Session)|Wring That Neck (BBC Top Gear Session)|Playground (Remixed Instrumental Studio Out Take)|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||",1969,9625,YES
8,Def Leppard,rock,Hard Rock,Retro Active,Desert Song|Fractured Love|Action|Two Steps Behind (Acoustic Version)|She's Too Tough|Miss You In A Heartbeat|Only After Dark|Ride Into The Sun|From The Inside|Ring Of Fire|I Wanna Be Your Hero|Miss You In A Heartbeat (Electric Version)|Two Steps Behind (Electric Version)||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,1993,9651,NO
8,Def Leppard,rock,Hard Rock,Retroactive,Desert Song|Fractured Love|Action|Two Steps behind|She's Too Tough|Miss You In A Heartbeat|Only After Dark|Ride Into The Sun|From Inside|Ring Of Fire|Wanna  Be Your Hero|Miss You In A Heartbeat|Two Steps Behind||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,1991,9725,YES
9,BoA,misc,JPop,Next World,PALM DRIVE feat. BoA & FIRSKLAS / HOLIDAY|BoA / Ã¥Â¥â€¡Ã¨Â¹Å¸ (SOUL'd OUT Remix)|westlife featuring BoA / Flying Without Wings|BRATZ feat. BoA & Howie D.(Backstreet Boys) / Show Me What You Got (DJ WATARAI REMIX)|BoA / JEWEL SONG (AKIRA's CANTO DIAMANTE VERSION)|BoA / Shine We Are! (GROOVE THAT SOUL REMIX)|BoA / Flower (D.I's \Luv hurts\REMIX)|BoA / Winding Road feat.DABO|Mondo Grosso / Everything Needs Love feat.BoA(Piano-pella)|BoA / VALENTI (English Version)|BoA / Every Heart (English Version)|BoA / Listen To My Heart (English Version)|BoA / Amazing Kiss (English Version)||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,2003,9405,NO
9,BoA,rock,JPop,Next World,PALM DRIVE feat. BoA & FIRSKLAS / HOLIDAY|BoA / Ã¥Â¥â€¡Ã¨Â¹Å¸ (SOUL'd OUT Remix)|westlife featuring BoA / Flying Without Wings|BRATZ feat. BoA & Howie D.(Backstreet Boys) / Show Me What You Got (DJ WATARAI REMIX)|BoA / JEWEL SONG (AKIRA's CANTO DIAMANTE VERSION)|BoA / Shine We Are! (GROOVE THAT SOUL REMIX)|BoA / Flower (D.I's \Luv hurts\REMIX)|BoA / Winding Road feat.DABO|Mondo Grosso / Everything Needs Love feat.BoA(Piano-pella)|BoA / VALENTI (English Version)|BoA / Every Heart (English Version)|BoA / Listen To My Heart (English Version)|BoA / Amazing Kiss (English Version)||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,2003,9561,YES
10,Manuel Barrueco,jazz,Jazz,Nylon & Steel,"Manuel Barrueco / Odeon|Manuel Barrueco,Al Di Meola / Beyond the Mirage|Manuel Barrueco,Al Di Meola / Azzurra|Manuel Barrueco,Al Di Meola / The Grand Passion|Manuel Barrueco,Steve Morse / Wolvesville (an improvisation on Etude No|. 1 by Villa-Lobos)|Manuel Barrueco,Steve Morse / Cavatina|Manuel Barrueco,Steve Morse / Without Sunglasses (Sense Ulleres de Sol)|Manuel Barrueco,Steve Morse / Northern Lights|Manuel Barrueco,Steve Morse / Up in the Air|Manuel Barrueco,Andy Summers / Mysteries of the Slow River (Misterios d|o Rio Lento)|Manuel Barrueco,Andy Summers / I Remember Andy Summers|Manuel Barrueco,Andy Summers / Crow at Midnight|Manuel Barrueco / Rodeo||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||",2001,9376,NO
10,Manuel Barrueco,blues,Jazz,Nylon & Steel,"Manuel Barrueco / Odeon|Manuel Barrueco, Al Di Meola / Beyond the Mirage|Manuel Barrueco, Al Di Meola / Azzurra|Manuel Barrueco, Al Di Meola / The Grand Passion|Manuel Barrueco, Steve Morse / Wolvesville (an improvisation on Etude No. 1 by Villa-Lobos)|Manuel Barrueco, Steve Morse / Cavatina|Manuel Barrueco, Steve Morse / Without Sunglasses (Sense Ulleres de Sol)|Manuel Barrueco, Steve Morse / Northern Lights|Manuel Barrueco, Steve Morse / Up in the Air|Manuel Barrueco, Andy Summers / Mysteries of the Slow River (Misterios do Rio Lento)|Manuel Barrueco, Andy Summers / I Remember Andy Summers|Manuel Barrueco, Andy Summers / Crow at Midnight|Manuel Barrueco / Rodeo||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||",2001,9762,YES
11,Enya,newage,New Age,Shepherd Moons,Shepherd Moons|Caribbean Blue|How Can I Keep From Singing?|Ebudae|Angeles|No Holly For Miss Quinn|Book Of Days|Evacuee|LothlÃ³rien|Marble Halls|Afer Ventus|Smaointe...|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,1991,2456,NO
11,Enya,newage,New Age,Shepherd Moons,Shepherd Moons|Caribbean Blue|How Can I Keep From Singing?|EbudÃ¦|Angeles|No Holly For Miss Quinn|Book Of Days|Evacuee|LothlÃ³rien|Marble Halls|After Ventus|Smaointe|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,1991,3558,YES
12,The Five Great Guitars,classical,National Folk,Live,Aan de voet van de regenboog|Eternal|Sambito|Torredembarra|Blue moon song|Loose the blues|Don Paco|I wish|Kora-intro|Mas guapa|Brasilian affair|High life|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,2003,9322,NO
12,The five great guitars,rock,National Folk,Live,Aan de voet van de regenboog|Eternal|Sambito|Torredembarra|Blue moon song|Loose the blues|Don Paco|I wish|Kora-intro|Mas guapa|Brasilian affair|High life|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,2003,9701,YES
13,Los CaÃ±os,misc,Pop,Agua De Luna,"Agua De Luna|A Lo Mejor Me QuerÃ­as|Sin Decirnos Nada|Si TÃº Bailas Para Mi|Sentir Como Yo Siento|Nena, Dime Por QuÃ©|QuÃ© Puedo Hacer|Huellas En Mi CorazÃ³n|A Mi Lado Mi Vida|Adriana|Lo Que Es Echarte De Menos|Ella Es (Interpretada Por Los CaÃ±os y susanna)|Cartitas De Amor||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||",2002,9387,NO
13,Los CaÃ±os,misc,Pop,Agua De Luna,"Agua De Luna|A Lo Mejor Me Querias|Sin Decirnos Nada|Si Tu Bailas Para Mi|Sentir Como Yo Siento|Nena, Dime Por Que|Que Puedo Hacer|Huellas En Mi Corazon|A Mi Lado De Vida|Adriana|Lo Que Es Echarte De Menos|Ella Es (con Susanna)|Cartitas De Amor||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||",2002,9401,YES
14,Lou - X,misc,Rap,"La RealtÃ , la LealtÃ  e lo Scontro",Intro|il mattino ha l'oro in bocca|vittime e complotti|a spasso per l'impero|oro e acciaio|sulla costa|danneggiatori|e la sagra continua|stati d'ansia|i numeri di cabal|dal profondo|attmi di gioia tra il dolore|via da qua||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,1998,9404,NO
